Identifier,BACKGROUND,LINE,GENOTYPE,SEX,RawCoord1,RawCoord2,RawCoord3,RawCoord4,RawCoord5,RawCoord6,RawCoord7,RawCoord8,RawCoord9,RawCoord10,RawCoord11,RawCoord12,RawCoord13,RawCoord14,RawCoord15,RawCoord16,RawCoord17,RawCoord18,Centroid Size,Log Centroid Size
Ore_10842_p_M_00001.jpg,Ore,10842,p,M,778,413,709,512,732,564,603,616,609,636,509,659,970,709,1106,584,1074,505,659.7710040444,6.4918928112
Ore_10842_p_M_00002.jpg,Ore,10842,p,M,733,372,663,469,682,526,556,575,561,596,452,618,930,680,1073,548,1036,467,679.4136360781,6.5212301263
Ore_10842_p_M_00003.jpg,Ore,10842,p,M,738,359,665,457,682,518,557,564,563,586,452,607,935,676,1080,542,1050,464,690.5091519226,6.5374292268
Ore_10842_p_M_00004.jpg,Ore,10842,p,M,710,391,648,488,677,548,528,605,534,626,421,650,925,700,1060,566,1023,486,700.4501727064,6.5517232322
Ore_10842_p_M_00005.jpg,Ore,10842,p,M,747,460,684,556,709,612,570,661,579,680,470,701,945,759,1083,627,1050,552,670.5735521842,6.5081333942
Ore_10842_p_M_00006.jpg,Ore,10842,p,M,806,437,736,542,762,597,631,654,639,674,533,704,1032,738,1158,600,1119,521,695.5919940757,6.544763273
Ore_10842_p_M_00007.jpg,Ore,10842,p,M,708,543,634,637,649,698,507,741,512,763,404,778,887,866,1036,737,1004,657,690.5463215616,6.5374830547
Ore_10842_p_M_00007b.jpg,Ore,10842,p,M,542,31,486,132,511,184,387,250,393,268,298,300,762,305,882,164,841,91,657.1353657268,6.4878900334
Ore_10842_p_M_00008.jpg,Ore,10842,p,M,751,647,681,750,705,807,560,860,565,881,459,901,961,959,1105,822,1071,741,711.6979696472,6.5676536215
Ore_10842_p_M_00008b.jpg,Ore,10842,p,M,608,57,549,158,576,221,433,285,440,306,336,336,841,361,970,216,933,140,709.848184082,6.5650511219
