Identifier	BACKGROUND	LINE	GENOTYPE	SEX	RawCoord1	RawCoord2	RawCoord3	RawCoord4	RawCoord5	RawCoord6	RawCoord7	RawCoord8	RawCoord9	RawCoord10	RawCoord11	RawCoord12	RawCoord13	RawCoord14	RawCoord15	RawCoord16	RawCoord17	RawCoord18	Centroid Size	Log Centroid Size
Sam_14364_w_M_00004.jpg	Sam	14364	w	M	752.0	360.0	669.0	458.0	684.0	512.0	557.0	560.0	563.0	581.0	465.0	602.0	936.0	660.0	1062.0	536.0	1031.0	456.0	663.6551982936788	6.497762734925854
Sam_14364_w_M_00005.jpg	Sam	14364	w	M	715.0	492.0	621.0	581.0	633.0	633.0	502.0	663.0	504.0	683.0	412.0	692.0	853.0	800.0	992.0	691.0	968.0	611.0	640.0321172496823	6.461518358297211
Sam_14364_w_M_00006.jpg	Sam	14364	w	M	801.0	364.0	709.0	457.0	722.0	510.0	596.0	546.0	599.0	566.0	498.0	578.0	959.0	675.0	1096.0	558.0	1071.0	479.0	657.918772426438	6.489081477544784
Sam_14364_w_M_00007.jpg	Sam	14364	w	M	754.0	263.0	660.0	369.0	684.0	425.0	546.0	473.0	551.0	496.0	448.0	512.0	935.0	596.0	1080.0	466.0	1053.0	385.0	702.5877564799684	6.554770313662198
Sam_14364_w_M_00008.jpg	Sam	14364	w	M	799.0	294.0	710.0	401.0	724.0	459.0	601.0	513.0	610.0	534.0	508.0	558.0	999.0	597.0	1120.0	462.0	1086.0	382.0	686.8897695813758	6.5321738275019605
Sam_14364_w_M_00009.jpg	Sam	14364	w	M	808.0	307.0	728.0	410.0	748.0	462.0	622.0	516.0	629.0	536.0	530.0	560.0	1013.0	598.0	1129.0	466.0	1090.0	389.0	667.9713899395525	6.504245343187632
Sam_14364_w_M_00010.jpg	Sam	14364	w	M	779.0	344.0	690.0	443.0	718.0	494.0	576.0	535.0	582.0	555.0	478.0	569.0	952.0	654.0	1089.0	535.0	1059.0	452.0	670.0578747806458	6.507364088924072
Sam_14364_w_M_00011.jpg	Sam	14364	w	M	867.0	318.0	776.0	409.0	793.0	460.0	664.0	496.0	669.0	517.0	570.0	526.0	1022.0	630.0	1162.0	514.0	1138.0	436.0	652.4000136249063	6.480657891631141
Sam_14364_w_M_00012.jpg	Sam	14364	w	M	783.0	438.0	699.0	536.0	719.0	587.0	594.0	631.0	599.0	652.0	500.0	669.0	966.0	737.0	1101.0	610.0	1068.0	532.0	662.6016064641625	6.4961739143484625
Sam_14403_p_F_00001.jpg	Sam	14403	p	F	782.0	439.0	689.0	554.0	712.0	616.0	571.0	673.0	580.0	700.0	460.0	726.0	1013.0	769.0	1154.0	616.0	1112.0	532.0	768.362472332485	6.644261590988172
Sam_14403_p_F_00002.jpg	Sam	14403	p	F	602.0	569.0	587.0	707.0	633.0	741.0	557.0	857.0	575.0	872.0	500.0	954.0	940.0	708.0	983.0	513.0	908.0	469.0	713.440957613172	6.570099683125928
Sam_14403_p_F_00002b.jpg	Sam	14403	p	F	730.0	91.0	699.0	232.0	746.0	269.0	648.0	385.0	666.0	398.0	583.0	471.0	1058.0	278.0	1117.0	80.0	1051.0	31.0	726.4357431245305	6.588150031919757
Sam_14403_p_F_00003.jpg	Sam	14403	p	F	802.0	541.0	751.0	672.0	789.0	723.0	670.0	824.0	685.0	842.0	588.0	902.0	1108.0	774.0	1190.0	602.0	1134.0	537.0	741.2706808057515	6.608365849829319
Sam_14403_p_F_00004.jpg	Sam	14403	p	F	611.0	468.0	588.0	605.0	633.0	641.0	550.0	751.0	569.0	767.0	482.0	847.0	945.0	625.0	991.0	435.0	924.0	388.0	713.3347352011147	6.569950784581064
Sam_14403_p_F_00005.jpg	Sam	14403	p	F	621.0	699.0	530.0	807.0	549.0	857.0	422.0	907.0	429.0	928.0	327.0	953.0	817.0	1001.0	950.0	874.0	917.0	795.0	691.629958865288	6.539051071068281
Sam_14403_p_F_00005b.jpg	Sam	14403	p	F	586.0	193.0	598.0	325.0	650.0	349.0	590.0	481.0	611.0	488.0	550.0	583.0	941.0	259.0	941.0	67.0	864.0	41.0	704.4646509544992	6.557438154003932
Sam_14403_p_F_00006.jpg	Sam	14403	p	F	732.0	638.0	622.0	734.0	636.0	790.0	497.0	824.0	502.0	847.0	394.0	854.0	885.0	977.0	1048.0	859.0	1024.0	776.0	718.385844948397	6.577006813214246
Sam_14403_p_F_00006b.jpg	Sam	14403	p	F	617.0	168.0	546.0	294.0	579.0	350.0	455.0	429.0	467.0	450.0	361.0	494.0	888.0	453.0	1007.0	284.0	956.0	211.0	746.4085863505175	6.615273153152012
Sam_14403_p_F_00007.jpg	Sam	14403	p	F	731.0	397.0	644.0	506.0	662.0	569.0	522.0	623.0	528.0	647.0	417.0	672.0	946.0	720.0	1084.0	581.0	1048.0	500.0	739.6108586427204	6.606124181182803
Sam_14403_p_M_00001.jpg	Sam	14403	p	M	799.0	401.0	717.0	506.0	734.0	557.0	627.0	609.0	633.0	628.0	545.0	650.0	984.0	695.0	1105.0	561.0	1073.0	490.0	633.6898996266935	6.451559717472282
Sam_14403_p_M_00002.jpg	Sam	14403	p	M	856.0	563.0	776.0	651.0	791.0	699.0	678.0	741.0	684.0	759.0	597.0	778.0	1010.0	839.0	1138.0	733.0	1113.0	659.0	600.5861951275418	6.397906170149439
Sam_14403_p_M_00003.jpg	Sam	14403	p	M	737.0	480.0	666.0	572.0	678.0	622.0	564.0	667.0	570.0	687.0	474.0	708.0	909.0	757.0	1035.0	636.0	1002.0	563.0	617.536863497053	6.425738764691215
Sam_14403_p_M_00004.jpg	Sam	14403	p	M	614.0	541.0	592.0	650.0	624.0	678.0	548.0	762.0	562.0	772.0	491.0	829.0	863.0	706.0	923.0	548.0	869.0	503.0	561.7577572030294	6.331070719965252
Sam_14403_p_M_00005.jpg	Sam	14403	p	M	695.0	623.0	648.0	736.0	682.0	775.0	579.0	854.0	592.0	871.0	509.0	917.0	956.0	841.0	1047.0	677.0	990.0	614.0	646.4609638468341	6.4715128156415656
Sam_14403_p_M_00006.jpg	Sam	14403	p	M	606.0	646.0	588.0	766.0	621.0	793.0	562.0	888.0	577.0	898.0	530.0	955.0	869.0	762.0	897.0	602.0	834.0	566.0	566.4538816179124	6.339395667830069
Sam_14403_p_M_00007.jpg	Sam	14403	p	M	846.0	627.0	754.0	721.0	764.0	771.0	649.0	810.0	654.0	830.0	563.0	846.0	1009.0	920.0	1141.0	802.0	1113.0	725.0	641.816519298502	6.46430246735745
Sam_14403_p_M_00007b.jpg	Sam	14403	p	M	403.0	272.0	336.0	380.0	363.0	427.0	251.0	493.0	261.0	511.0	167.0	546.0	630.0	532.0	738.0	386.0	696.0	316.0	652.8132283518089	6.4812910674639
Sam_14403_p_M_00008.jpg	Sam	14403	p	M	612.0	607.0	533.0	704.0	550.0	757.0	423.0	801.0	428.0	824.0	332.0	841.0	788.0	910.0	926.0	787.0	898.0	709.0	658.0310698507244	6.489252148828675
Sam_14403_p_M_00008b.jpg	Sam	14403	p	M	632.0	203.0	563.0	295.0	585.0	340.0	475.0	387.0	479.0	407.0	386.0	430.0	817.0	456.0	932.0	334.0	895.0	266.0	602.0651496677452	6.400365661492683
Sam_14403_w_F_00001.jpg	Sam	14403	w	F	774.0	253.0	695.0	363.0	721.0	422.0	583.0	482.0	593.0	505.0	474.0	533.0	1010.0	559.0	1140.0	414.0	1102.0	337.0	737.6513780611783	6.603471325539393
Sam_14403_w_F_00002.jpg	Sam	14403	w	F	816.0	168.0	714.0	273.0	728.0	333.0	586.0	376.0	592.0	397.0	483.0	412.0	988.0	508.0	1150.0	378.0	1121.0	297.0	733.3737867630061	6.597655512924568
Sam_14403_w_F_00003.jpg	Sam	14403	w	F	829.0	302.0	732.0	407.0	751.0	470.0	605.0	519.0	608.0	543.0	497.0	561.0	1031.0	634.0	1166.0	496.0	1136.0	418.0	740.9369443856579	6.607915526379268
Sam_14403_w_F_00004.jpg	Sam	14403	w	F	776.0	352.0	671.0	462.0	692.0	524.0	536.0	571.0	542.0	595.0	426.0	613.0	983.0	708.0	1133.0	577.0	1107.0	491.0	783.6586558501659	6.663973537595339
Sam_14403_w_F_00005.jpg	Sam	14403	w	F	802.0	354.0	710.0	451.0	727.0	508.0	596.0	547.0	599.0	568.0	493.0	582.0	985.0	678.0	1130.0	553.0	1097.0	472.0	698.7084911145388	6.549233618217549
Sam_14403_w_F_00006.jpg	Sam	14403	w	F	812.0	116.0	712.0	225.0	728.0	282.0	586.0	332.0	594.0	354.0	490.0	373.0	1009.0	433.0	1136.0	303.0	1106.0	221.0	721.2042398347056	6.580922370173093
Sam_14403_w_F_00007.jpg	Sam	14403	w	F	860.0	545.0	760.0	652.0	776.0	710.0	633.0	760.0	642.0	783.0	539.0	801.0	1056.0	863.0	1185.0	731.0	1153.0	650.0	721.0470781362955	6.580704430765343
Sam_14403_w_F_00008.jpg	Sam	14403	w	F	794.0	609.0	706.0	720.0	727.0	774.0	598.0	826.0	604.0	850.0	491.0	872.0	1013.0	922.0	1140.0	785.0	1107.0	707.0	719.531483366472	6.578600282654982
Sam_14403_w_F_00009.jpg	Sam	14403	w	F	757.0	631.0	663.0	730.0	679.0	795.0	536.0	841.0	541.0	864.0	424.0	880.0	945.0	969.0	1094.0	838.0	1065.0	757.0	734.8842690443774	6.59971302973269
Sam_14403_w_F_00010.jpg	Sam	14403	w	F	841.0	691.0	743.0	792.0	760.0	848.0	622.0	888.0	626.0	910.0	526.0	923.0	1028.0	1009.0	1161.0	886.0	1132.0	803.0	704.5886112556115	6.557614102358414
Sam_14403_w_M_00001.jpg	Sam	14403	w	M	815.0	230.0	728.0	322.0	738.0	373.0	615.0	409.0	619.0	429.0	525.0	439.0	978.0	534.0	1115.0	417.0	1087.0	340.0	651.0195422907399	6.4785396606377965
